TrialID,StimulusType,Condition,PrimeDuration,Prime,Flanker,corrAns,Transparency
37.0,FEM,AGR,150.0,sala,la,a,Transparent
38.0,FEM,CON,150.0,obra,,a,Transparent
39.0,FEM,DIS,150.0,luna,el,a,Transparent
40.0,MAS,AGR,150.0,dios,el,l,Opaque
41.0,MAS,CON,150.0,bote,,l,Opaque
42.0,MAS,DIS,150.0,show,la,l,Opaque
43.0,FEM,AGR,150.0,nena,la,a,Transparent
44.0,FEM,CON,150.0,zona,,a,Transparent
45.0,FEM,DIS,150.0,isla,el,a,Transparent
46.0,MAS,AGR,150.0,odio,el,l,Transparent
47.0,MAS,CON,150.0,olor,,l,Opaque
48.0,MAS,DIS,150.0,loco,la,l,Transparent
49.0,FEM,AGR,150.0,piel,la,a,Opaque
50.0,FEM,CON,150.0,dama,,a,Transparent
51.0,FEM,DIS,150.0,bala,el,a,Transparent
52.0,MAS,AGR,150.0,lago,el,l,Transparent
53.0,MAS,CON,150.0,vaso,,l,Transparent
54.0,MAS,DIS,150.0,humo,la,l,Transparent
55.0,FEM,AGR,150.0,taza,la,a,Transparent
56.0,FEM,CON,150.0,bola,,a,Transparent
57.0,FEM,DIS,150.0,moda,el,a,Transparent
58.0,MAS,AGR,150.0,mono,el,l,Transparent
59.0,MAS,CON,150.0,lobo,,l,Transparent
60.0,MAS,DIS,150.0,tono,la,l,Transparent
61.0,FEM,AGR,150.0,ruta,la,a,Transparent
62.0,FEM,CON,150.0,sopa,,a,Transparent
63.0,FEM,DIS,150.0,fila,el,a,Transparent
64.0,MAS,AGR,150.0,saco,el,l,Transparent
65.0,MAS,CON,150.0,rayo,,l,Transparent
66.0,MAS,DIS,150.0,muro,la,l,Transparent
67.0,FEM,AGR,150.0,miel,la,a,Opaque
68.0,FEM,CON,150.0,pata,,a,Transparent
69.0,FEM,DIS,150.0,rata,el,a,Transparent
70.0,MAS,AGR,150.0,palo,el,l,Transparent
71.0,MAS,CON,150.0,pozo,,l,Transparent
72.0,MAS,DIS,150.0,hoyo,la,l,Transparent
73.0,FEM,AGR,150.0,roca,la,a,Transparent
74.0,FEM,CON,150.0,flor,,a,Opaque
75.0,FEM,DIS,150.0,caza,el,a,Transparent
76.0,MAS,AGR,150.0,lujo,el,l,Transparent
77.0,MAS,CON,150.0,pico,,l,Transparent
78.0,MAS,DIS,150.0,oído,la,l,Transparent
79.0,FEM,AGR,150.0,mina,la,a,Transparent
80.0,FEM,CON,150.0,vaca,,a,Transparent
81.0,FEM,DIS,150.0,cima,el,a,Transparent
82.0,MAS,AGR,150.0,tubo,el,l,Transparent
83.0,MAS,CON,150.0,nene,,l,Opaque
84.0,MAS,DIS,150.0,mago,la,l,Transparent
85.0,FEM,AGR,150.0,gira,la,a,Transparent
86.0,FEM,CON,150.0,cruz,,a,Opaque
87.0,FEM,DIS,150.0,risa,el,a,Transparent
88.0,MAS,AGR,150.0,pavo,el,l,Transparent
89.0,MAS,CON,150.0,maíz,,l,Opaque
90.0,MAS,DIS,150.0,león,la,l,Opaque
91.0,FEM,AGR,150.0,hoja,la,a,Transparent
92.0,FEM,CON,150.0,masa,,a,Transparent
93.0,FEM,DIS,150.0,lata,el,a,Transparent
94.0,MAS,AGR,150.0,cabo,el,l,Transparent
95.0,MAS,CON,150.0,tomo,,l,Transparent
96.0,MAS,DIS,150.0,pato,la,l,Transparent
97.0,FEM,AGR,150.0,capa,la,a,Transparent
98.0,FEM,CON,150.0,fuga,,a,Transparent
99.0,FEM,DIS,150.0,fase,el,a,Opaque
100.0,MAS,AGR,150.0,nido,el,l,Transparent
101.0,MAS,CON,150.0,giro,,l,Transparent
102.0,MAS,DIS,150.0,coro,la,l,Transparent
103.0,FEM,AGR,150.0,fama,la,a,Transparent
104.0,FEM,CON,150.0,vela,,a,Transparent
105.0,FEM,DIS,150.0,jefa,el,a,Transparent
106.0,MAS,AGR,150.0,test,el,l,Opaque
107.0,MAS,CON,150.0,cubo,,l,Transparent
108.0,MAS,DIS,150.0,hilo,la,l,Transparent
109.0,FEM,AGR,150.0,gota,la,a,Transparent
110.0,FEM,CON,150.0,rosa,,a,Transparent
111.0,FEM,DIS,150.0,goma,el,a,Transparent
112.0,MAS,AGR,150.0,reto,el,l,Transparent
113.0,MAS,CON,150.0,toro,,l,Transparent
114.0,MAS,DIS,150.0,menú,la,l,Opaque
115.0,FEM,AGR,150.0,seda,la,a,Transparent
116.0,FEM,CON,150.0,nube,,a,Opaque
117.0,FEM,DIS,150.0,raya,el,a,Transparent
118.0,MAS,AGR,150.0,baúl,el,l,Opaque
119.0,MAS,CON,150.0,mito,,l,Transparent
120.0,MAS,DIS,150.0,puño,la,l,Transparent
121.0,FEM,AGR,150.0,pila,la,a,Transparent
122.0,FEM,CON,150.0,loca,,a,Transparent
123.0,FEM,DIS,150.0,tela,el,a,Transparent
124.0,MAS,AGR,150.0,clan,el,l,Opaque
125.0,MAS,CON,150.0,bate,,l,Opaque
126.0,MAS,DIS,150.0,lazo,la,l,Transparent
127.0,FEM,AGR,150.0,cuna,la,a,Transparent
128.0,FEM,CON,150.0,leña,,a,Transparent
129.0,FEM,DIS,150.0,rana,el,a,Transparent
130.0,MAS,AGR,150.0,yate,el,l,Opaque
131.0,MAS,CON,150.0,kilo,,l,Transparent
132.0,MAS,DIS,150.0,velo,la,l,Transparent
133.0,FEM,AGR,150.0,joya,la,a,Transparent
134.0,FEM,CON,150.0,rama,,a,Transparent
135.0,FEM,DIS,150.0,raíz,el,a,Opaque
136.0,MAS,AGR,150.0,vago,el,l,Transparent
137.0,MAS,CON,150.0,coco,,l,Transparent
138.0,MAS,DIS,150.0,luto,la,l,Transparent
139.0,FEM,AGR,150.0,pipa,la,a,Transparent
140.0,FEM,CON,150.0,mula,,a,Transparent
141.0,FEM,DIS,150.0,cera,el,a,Transparent
142.0,MAS,AGR,150.0,lodo,el,l,Transparent
143.0,MAS,CON,150.0,faro,,l,Transparent
144.0,MAS,DIS,150.0,amor,la,l,Opaque
145.0,FEM,AGR,150.0,bota,la,a,Transparent
146.0,FEM,CON,150.0,lana,,a,Transparent
147.0,FEM,DIS,150.0,grúa,el,a,Transparent
